Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
KEN,2000-01-01,2000-01-31,114,'404,Kenya,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2000,2000,,19.734948,I,base year is 2015
KEN,2001-01-01,2001-01-31,114,'404,Kenya,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2001,2001,,22.919383,I,base year is 2015
KEN,2002-01-01,2002-01-31,114,'404,Kenya,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2002,2002,,23.059345,I,base year is 2015
KEN,2003-01-01,2003-01-31,114,'404,Kenya,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2003,2003,,25.023064,I,base year is 2015
KEN,2004-01-01,2004-01-31,114,'404,Kenya,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2004,2004,,28.093690,I,base year is 2015
KEN,2005-01-01,2005-01-31,114,'404,Kenya,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2005,2005,,33.750519,I,base year is 2015
KEN,2006-01-01,2006-01-31,114,'404,Kenya,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2006,2006,,37.435699,I,base year is 2015
KEN,2007-01-01,2007-01-31,114,'404,Kenya,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2007,2007,,39.744784,I,base year is 2015
KEN,2008-01-01,2008-01-31,114,'404,Kenya,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2008,2008,,43.969660,I,base year is 2015
KEN,2009-01-01,2009-01-31,114,'404,Kenya,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2009,2009,,51.888940,I,base year is 2015
KEN,2010-01-01,2010-01-31,114,'404,Kenya,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2010,2010,,56.693973,X,base year is 2015
KEN,2011-01-01,2011-01-31,114,'404,Kenya,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2011,2011,,61.541847,X,base year is 2015
KEN,2012-01-01,2012-01-31,114,'404,Kenya,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2012,2012,,76.665098,X,base year is 2015
KEN,2013-01-01,2013-01-31,114,'404,Kenya,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2013,2013,,78.503983,X,base year is 2015
KEN,2014-01-01,2014-01-31,114,'404,Kenya,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2014,2014,,86.465947,X,base year is 2015
KEN,2015-01-01,2015-01-31,114,'404,Kenya,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2015,2015,,93.101516,X,base year is 2015
KEN,2016-01-01,2016-01-31,114,'404,Kenya,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2016,2016,,104.931799,X,base year is 2015
