Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,
KEN,1970-01-01,1970-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1970,1970,LCU,1.7486746190,E
KEN,1971-01-01,1971-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1971,1971,LCU,1.8195944500,E
KEN,1972-01-01,1972-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1972,1972,LCU,1.9425857610,E
KEN,1973-01-01,1973-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1973,1973,LCU,2.1407744670,E
KEN,1974-01-01,1974-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1974,1974,LCU,2.4731871050,E
KEN,1975-01-01,1975-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1975,1975,LCU,2.8015290430,E
KEN,1976-01-01,1976-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1976,1976,LCU,3.2705028950,E
KEN,1977-01-01,1977-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1977,1977,LCU,3.8301981230,E
KEN,1978-01-01,1978-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1978,1978,LCU,3.8857407720,E
KEN,1979-01-01,1979-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1979,1979,LCU,4.1542990210,E
KEN,1980-01-01,1980-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1980,1980,LCU,4.5485089540,E
KEN,1981-01-01,1981-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1981,1981,LCU,5.0404121680,E
KEN,1982-01-01,1982-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1982,1982,LCU,5.6523312100,E
KEN,1983-01-01,1983-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1983,1983,LCU,6.3186177970,E
KEN,1984-01-01,1984-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1984,1984,LCU,6.9617515680,E
KEN,1985-01-01,1985-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1985,1985,LCU,7.5389331640,E
KEN,1986-01-01,1986-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1986,1986,LCU,8.1939273270,E
KEN,1987-01-01,1987-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1987,1987,LCU,8.6365303070,E
KEN,1988-01-01,1988-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1988,1988,LCU,9.3750820420,E
