Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Element Code,Element,ISO Currency Code,Currency,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,,,,,,#date+year,,,#indicator+type,#indicator+value+num,
KEN,1970-01-01,1970-12-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1970,1970,7021,Annual value,,7.142860006100000,X
KEN,1970-01-01,1970-01-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1970,1970,7001,January,,7.142860006100000,X
KEN,1970-02-01,1970-02-28,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1970,1970,7002,February,,7.142860006100000,X
KEN,1970-03-01,1970-03-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1970,1970,7003,March,,7.142860006100000,X
KEN,1970-04-01,1970-04-30,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1970,1970,7004,April,,7.142860006100000,X
KEN,1970-05-01,1970-05-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1970,1970,7005,May,,7.142860006100000,X
KEN,1970-06-01,1970-06-30,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1970,1970,7006,June,,7.142860006100000,X
KEN,1970-07-01,1970-07-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1970,1970,7007,July,,7.142860006100000,X
KEN,1970-08-01,1970-08-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1970,1970,7008,August,,7.142860006100000,X
KEN,1970-09-01,1970-09-30,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1970,1970,7009,September,,7.142860006100000,X
KEN,1970-10-01,1970-10-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1970,1970,7010,October,,7.142860006100000,X
KEN,1970-11-01,1970-11-30,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1970,1970,7011,November,,7.142860006100000,X
KEN,1970-12-01,1970-12-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1970,1970,7012,December,,7.142860006100000,X
KEN,1971-01-01,1971-12-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1971,1971,7021,Annual value,,7.142859997800000,X
KEN,1971-01-01,1971-01-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1971,1971,7001,January,,7.142860006100000,X
KEN,1971-02-01,1971-02-28,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1971,1971,7002,February,,7.142860006100000,X
KEN,1971-03-01,1971-03-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1971,1971,7003,March,,7.142860006100000,X
KEN,1971-04-01,1971-04-30,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1971,1971,7004,April,,7.142860006100000,X
KEN,1971-05-01,1971-05-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1971,1971,7005,May,,7.142860006100000,X
KEN,1971-06-01,1971-06-30,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1971,1971,7006,June,,7.142860006100000,X
KEN,1971-07-01,1971-07-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1971,1971,7007,July,,7.142860006100000,X
KEN,1971-08-01,1971-08-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1971,1971,7008,August,,7.142860006100000,X
KEN,1971-09-01,1971-09-30,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1971,1971,7009,September,,7.142860006100000,X
KEN,1971-10-01,1971-10-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1971,1971,7010,October,,7.142860006100000,X
KEN,1971-11-01,1971-11-30,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1971,1971,7011,November,,7.142860006100000,X
KEN,1971-12-01,1971-12-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1971,1971,7012,December,,7.142859905600000,X
KEN,1972-01-01,1972-12-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1972,1972,7021,Annual value,,7.142859999000000,X
KEN,1972-01-01,1972-01-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1972,1972,7001,January,,7.142859999000000,X
KEN,1972-02-01,1972-02-29,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1972,1972,7002,February,,7.142859999000000,X
KEN,1972-03-01,1972-03-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1972,1972,7003,March,,7.142859999000000,X
KEN,1972-04-01,1972-04-30,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1972,1972,7004,April,,7.142859999000000,X
KEN,1972-05-01,1972-05-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1972,1972,7005,May,,7.142859999000000,X
KEN,1972-06-01,1972-06-30,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1972,1972,7006,June,,7.142859999000000,X
KEN,1972-07-01,1972-07-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1972,1972,7007,July,,7.142859999000000,X
KEN,1972-08-01,1972-08-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1972,1972,7008,August,,7.142859999000000,X
KEN,1972-09-01,1972-09-30,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1972,1972,7009,September,,7.142859999000000,X
KEN,1972-10-01,1972-10-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1972,1972,7010,October,,7.142859999000000,X
KEN,1972-11-01,1972-11-30,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1972,1972,7011,November,,7.142859999000000,X
KEN,1972-12-01,1972-12-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1972,1972,7012,December,,7.142859999000000,X
KEN,1973-01-01,1973-12-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1973,1973,7021,Annual value,,7.001191665700000,X
KEN,1973-01-01,1973-01-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1973,1973,7001,January,,7.142859999000000,X
KEN,1973-02-01,1973-02-28,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1973,1973,7002,February,,7.142859999000000,X
KEN,1973-03-01,1973-03-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1973,1973,7003,March,,7.142859999000000,X
KEN,1973-04-01,1973-04-30,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1973,1973,7004,April,,7.142859999000000,X
KEN,1973-05-01,1973-05-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1973,1973,7005,May,,7.142859999000000,X
KEN,1973-06-01,1973-06-30,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1973,1973,7006,June,,6.899999999000000,X
KEN,1973-07-01,1973-07-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1973,1973,7007,July,,6.899999999000000,X
KEN,1973-08-01,1973-08-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1973,1973,7008,August,,6.899999999000000,X
KEN,1973-09-01,1973-09-30,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1973,1973,7009,September,,6.899999999000000,X
KEN,1973-10-01,1973-10-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1973,1973,7010,October,,6.899999999000000,X
KEN,1973-11-01,1973-11-30,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1973,1973,7011,November,,6.899999999000000,X
KEN,1973-12-01,1973-12-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1973,1973,7012,December,,6.899999999000000,X
KEN,1974-01-01,1974-12-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1974,1974,7021,Annual value,,7.142859999000000,X
KEN,1974-01-01,1974-01-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1974,1974,7001,January,,7.142859999000000,X
KEN,1974-02-01,1974-02-28,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1974,1974,7002,February,,7.142859999000000,X
KEN,1974-03-01,1974-03-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1974,1974,7003,March,,7.142859999000000,X
KEN,1974-04-01,1974-04-30,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1974,1974,7004,April,,7.142859999000000,X
KEN,1974-05-01,1974-05-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1974,1974,7005,May,,7.142859999000000,X
KEN,1974-06-01,1974-06-30,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1974,1974,7006,June,,7.142859999000000,X
KEN,1974-07-01,1974-07-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1974,1974,7007,July,,7.142859999000000,X
KEN,1974-08-01,1974-08-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1974,1974,7008,August,,7.142859999000000,X
KEN,1974-09-01,1974-09-30,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1974,1974,7009,September,,7.142859999000000,X
KEN,1974-10-01,1974-10-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1974,1974,7010,October,,7.142859999000000,X
KEN,1974-11-01,1974-11-30,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1974,1974,7011,November,,7.142859999000000,X
KEN,1974-12-01,1974-12-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1974,1974,7012,December,,7.142859999000000,X
KEN,1975-01-01,1975-12-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1975,1975,7021,Annual value,,7.343193332300000,X
KEN,1975-01-01,1975-01-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1975,1975,7001,January,,7.142859999000000,X
KEN,1975-02-01,1975-02-28,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1975,1975,7002,February,,7.142859999000000,X
KEN,1975-03-01,1975-03-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1975,1975,7003,March,,7.142859999000000,X
KEN,1975-04-01,1975-04-30,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1975,1975,7004,April,,7.142859999000000,X
KEN,1975-05-01,1975-05-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1975,1975,7005,May,,7.142859999000000,X
KEN,1975-06-01,1975-06-30,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1975,1975,7006,June,,7.142859999000000,X
KEN,1975-07-01,1975-07-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1975,1975,7007,July,,7.142859999000000,X
KEN,1975-08-01,1975-08-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1975,1975,7008,August,,7.142859999000000,X
KEN,1975-09-01,1975-09-30,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1975,1975,7009,September,,7.142859999000000,X
KEN,1975-10-01,1975-10-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1975,1975,7010,October,,7.397649999000000,X
KEN,1975-11-01,1975-11-30,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1975,1975,7011,November,,8.189049999000000,X
KEN,1975-12-01,1975-12-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1975,1975,7012,December,,8.245879999000000,X
KEN,1976-01-01,1976-12-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1976,1976,7021,Annual value,,8.367144999200001,X
KEN,1976-01-01,1976-01-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1976,1976,7001,January,,8.243999999000000,X
KEN,1976-02-01,1976-02-29,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1976,1976,7002,February,,8.260000000000000,X
KEN,1976-03-01,1976-03-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1976,1976,7003,March,,8.342729998999999,X
KEN,1976-04-01,1976-04-30,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1976,1976,7004,April,,8.387499998999999,X
KEN,1976-05-01,1976-05-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1976,1976,7005,May,,8.410479999000000,X
KEN,1976-06-01,1976-06-30,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1976,1976,7006,June,,8.446999999000001,X
KEN,1976-07-01,1976-07-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1976,1976,7007,July,,8.433639999000000,X
KEN,1976-08-01,1976-08-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1976,1976,7008,August,,8.412499999000000,X
KEN,1976-09-01,1976-09-30,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1976,1976,7009,September,,8.374759999000000,X
KEN,1976-10-01,1976-10-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1976,1976,7010,October,,8.363000000000000,X
KEN,1976-11-01,1976-11-30,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1976,1976,7011,November,,8.368329999000000,X
KEN,1976-12-01,1976-12-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1976,1976,7012,December,,8.361799999000000,X
KEN,1977-01-01,1977-12-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1977,1977,7021,Annual value,,8.276560832399999,X
KEN,1977-01-01,1977-01-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1977,1977,7001,January,,8.344199999000001,X
KEN,1977-02-01,1977-02-28,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1977,1977,7002,February,,8.362099999000000,X
KEN,1977-03-01,1977-03-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1977,1977,7003,March,,8.347699999000000,X
KEN,1977-04-01,1977-04-30,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1977,1977,7004,April,,8.324199998999999,X
KEN,1977-05-01,1977-05-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1977,1977,7005,May,,8.316099999000000,X
KEN,1977-06-01,1977-06-30,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1977,1977,7006,June,,8.312999999000001,X
KEN,1977-07-01,1977-07-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1977,1977,7007,July,,8.236099999000000,X
KEN,1977-08-01,1977-08-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1977,1977,7008,August,,8.279899999000000,X
KEN,1977-09-01,1977-09-30,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1977,1977,7009,September,,8.319299999000000,X
KEN,1977-10-01,1977-10-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1977,1977,7010,October,,8.249699999000001,X
KEN,1977-11-01,1977-11-30,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1977,1977,7011,November,,8.170899999000000,X
KEN,1977-12-01,1977-12-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1977,1977,7012,December,,8.055529999999999,X
KEN,1978-01-01,1978-12-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1978,1978,7021,Annual value,,7.729383332300000,X
KEN,1978-01-01,1978-01-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1978,1978,7001,January,,7.959399999000000,X
KEN,1978-02-01,1978-02-28,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1978,1978,7002,February,,7.934589999000000,X
KEN,1978-03-01,1978-03-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1978,1978,7003,March,,7.858299999000000,X
KEN,1978-04-01,1978-04-30,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1978,1978,7004,April,,7.833499999000000,X
KEN,1978-05-01,1978-05-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1978,1978,7005,May,,7.939899999000000,X
KEN,1978-06-01,1978-06-30,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1978,1978,7006,June,,7.862969999000000,X
KEN,1978-07-01,1978-07-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1978,1978,7007,July,,7.735989999000000,X
KEN,1978-08-01,1978-08-31,114,'404,Kenya,LCU,Local currency units per USD,KES,Kenyan Shilling,1978,1978,7008,August,,7.604019999000000,X
