Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Kenya,KEN,2021,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,23749299843.1624
Kenya,KEN,2020,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,19505682830.0173
Kenya,KEN,2019,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,22230623833.2464
Kenya,KEN,2018,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,21771490072.459
Kenya,KEN,2017,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,20785273949.6783
Kenya,KEN,2016,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,17284287805.2278
Kenya,KEN,2015,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,18562090900.9648
Kenya,KEN,2014,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,21643304572.6042
Kenya,KEN,2013,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,19229671269.5395
Kenya,KEN,2012,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,18577716413.5687
Kenya,KEN,2011,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,16732206696.1527
Kenya,KEN,2010,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,13823186436.2864
Kenya,KEN,2009,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,11514005693.5258
Kenya,KEN,2008,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,12780611240.378
Kenya,KEN,2007,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,10363847714.2041
Kenya,KEN,2006,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,8340533502.15737
Kenya,KEN,2005,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,6920519264.88687
Kenya,KEN,2004,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,5461336762.76387
Kenya,KEN,2003,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,4407401991.56413
Kenya,KEN,2002,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,4045871362.73667
Kenya,KEN,2001,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,4216166910.09868
Kenya,KEN,2000,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,3940728235.80521
Kenya,KEN,1999,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,8580583623.03485
Kenya,KEN,1998,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,8662274730.93609
Kenya,KEN,1997,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,7361748205.58013
Kenya,KEN,1996,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,5859745448.64559
Kenya,KEN,1995,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,6195020991.88721
Kenya,KEN,1994,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,5909583320.25372
Kenya,KEN,1993,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,5175520814.29606
Kenya,KEN,1992,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2531999317.12717
Kenya,KEN,1991,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2764707307.97008
Kenya,KEN,1990,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,3128201174.49737
Kenya,KEN,1989,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2896657992.72166
Kenya,KEN,1988,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2697680184.36815
Kenya,KEN,1987,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2447234519.0447
Kenya,KEN,1986,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2147575175.06541
Kenya,KEN,1985,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1911135408.62468
Kenya,KEN,1984,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1966022322.32115
Kenya,KEN,1983,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1752617720.84431
Kenya,KEN,1982,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2067508520.50328
Kenya,KEN,1981,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2575076462.41784
Kenya,KEN,1980,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,3094665734.94197
Kenya,KEN,1979,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2219038655.44278
Kenya,KEN,1978,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2295137818.536
Kenya,KEN,1977,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1632803802.64589
Kenya,KEN,1976,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1281679712.86121
Kenya,KEN,1975,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1279960852.80972
Kenya,KEN,2021,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-5744077673.61325
Kenya,KEN,2020,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-4791685554.64077
Kenya,KEN,2019,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-5258353850.90664
Kenya,KEN,2018,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-4989164830.68117
Kenya,KEN,2017,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-5739957846.28601
Kenya,KEN,2016,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-4037779793.18487
Kenya,KEN,2015,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-4420811285.35286
Kenya,KEN,2014,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-6377926517.1221
Kenya,KEN,2013,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-4842146887.50261
Kenya,KEN,2012,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-4216145262.61505
Kenya,KEN,2011,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-3819304011.33315
Kenya,KEN,2010,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-2368671949.98367
Kenya,KEN,2009,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1688505911.10075
Kenya,KEN,2008,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1982595676.67124
Kenya,KEN,2007,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1032048240.78544
