Iso3,Item Code,Year,Value
#country+code,#indicator+code,#date+year,#indicator+value+num
KEN,23013,2000,19.734948
KEN,23013,2001,22.919383
KEN,23013,2002,23.059345
KEN,23013,2003,25.023064
KEN,23013,2004,28.093690
KEN,23013,2005,33.750519
KEN,23013,2006,37.435699
KEN,23013,2007,39.744784
KEN,23013,2008,43.969660
KEN,23013,2009,51.888940
KEN,23013,2010,56.693973
KEN,23013,2011,61.541847
KEN,23013,2012,76.665098
KEN,23013,2013,78.503983
KEN,23013,2014,86.465947
KEN,23013,2015,93.101516
KEN,23013,2016,104.931799
KEN,23013,2017,118.090990
KEN,23013,2018,123.648316
KEN,23013,2019,125.645336
KEN,23013,2020,137.702217
KEN,23013,2021,150.856182
KEN,23013,2022,163.906553
KEN,23013,2000,19.562542
KEN,23013,2001,22.237390
KEN,23013,2002,22.591119
KEN,23013,2003,24.842581
KEN,23013,2004,28.131088
KEN,23013,2005,33.432591
KEN,23013,2006,37.419825
KEN,23013,2007,38.972484
KEN,23013,2008,44.763908
KEN,23013,2009,53.160750
KEN,23013,2010,57.014532
KEN,23013,2011,62.612284
KEN,23013,2012,76.431894
KEN,23013,2013,79.514760
KEN,23013,2014,86.779662
KEN,23013,2015,94.326158
KEN,23013,2016,104.485058
KEN,23013,2017,121.730132
KEN,23013,2018,126.397944
KEN,23013,2019,127.781673
KEN,23013,2020,141.295789
KEN,23013,2021,152.379830
KEN,23013,2022,165.266978
KEN,23013,2000,19.492224
KEN,23013,2001,21.969282
KEN,23013,2002,22.560452
KEN,23013,2003,25.630247
KEN,23013,2004,28.489839
KEN,23013,2005,33.941749
KEN,23013,2006,37.698327
KEN,23013,2007,38.856652
KEN,23013,2008,45.427847
KEN,23013,2009,54.114826
KEN,23013,2010,56.544697
KEN,23013,2011,65.078889
KEN,23013,2012,78.297319
KEN,23013,2013,80.588819
KEN,23013,2014,87.267179
KEN,23013,2015,96.827732
KEN,23013,2016,105.939055
KEN,23013,2017,125.597199
KEN,23013,2018,128.349124
KEN,23013,2019,131.995776
KEN,23013,2020,142.072915
KEN,23013,2021,152.913159
KEN,23013,2022,167.729456
KEN,23013,2000,19.959572
KEN,23013,2001,22.397928
KEN,23013,2002,22.652159
KEN,23013,2003,26.203161
KEN,23013,2004,28.860347
KEN,23013,2005,35.130423
KEN,23013,2006,37.446207
KEN,23013,2007,38.440941
KEN,23013,2008,47.224924
KEN,23013,2009,55.136257
KEN,23013,2010,57.223454
KEN,23013,2011,68.175712
KEN,23013,2012,79.248525
KEN,23013,2013,82.077495
KEN,23013,2014,88.714342
KEN,23013,2015,100.619416
KEN,23013,2016,107.501792
KEN,23013,2017,130.060276
KEN,23013,2018,130.392453
KEN,23013,2019,141.048881
KEN,23013,2020,144.587606
KEN,23013,2021,155.558557
KEN,23013,2022,172.811658
KEN,23013,2000,20.859616
KEN,23013,2001,22.794996
KEN,23013,2002,23.310834
KEN,23013,2003,28.018325
KEN,23013,2004,29.755144
KEN,23013,2005,35.707796
KEN,23013,2006,37.605212
KEN,23013,2007,38.649659
KEN,23013,2008,48.488806
KEN,23013,2009,55.034082
KEN,23013,2010,57.478360
KEN,23013,2011,69.044885
KEN,23013,2012,79.107419
KEN,23013,2013,82.492010
KEN,23013,2014,89.823203
KEN,23013,2015,101.682715
KEN,23013,2016,108.381243
KEN,23013,2017,131.704737
KEN,23013,2018,132.156543
KEN,23013,2019,140.525484
KEN,23013,2020,145.831059
KEN,23013,2021,156.056344
KEN,23013,2022,175.058210
KEN,23013,2000,21.788795
KEN,23013,2001,23.126842
KEN,23013,2002,24.002786
KEN,23013,2003,28.460150
KEN,23013,2004,30.719481
KEN,23013,2005,35.654143
KEN,23013,2006,37.580021
KEN,23013,2007,39.604616
KEN,23013,2008,48.634982
KEN,23013,2009,54.902828
KEN,23013,2010,57.303780
KEN,23013,2011,70.206062
KEN,23013,2012,77.597493
KEN,23013,2013,82.639161
KEN,23013,2014,89.589041
KEN,23013,2015,101.580835
KEN,23013,2016,110.612932
KEN,23013,2017,128.101772
KEN,23013,2018,129.255026
KEN,23013,2019,138.275855
KEN,23013,2020,143.979005
KEN,23013,2021,156.149978
KEN,23013,2022,177.158908
KEN,23013,2000,22.112498
KEN,23013,2001,23.367421
KEN,23013,2002,24.023765
KEN,23013,2003,27.551948
KEN,23013,2004,30.706806
