Country ISO3,Year,Indicator Code,Value
#country+code,#date+year,#indicator+code,#indicator+value+num
KEN,2021,BM.GSR.TOTL.CD,23749299843.1624
KEN,2020,BM.GSR.TOTL.CD,19505682830.0173
KEN,2019,BM.GSR.TOTL.CD,22230623833.2464
KEN,2018,BM.GSR.TOTL.CD,21771490072.459
KEN,2017,BM.GSR.TOTL.CD,20785273949.6783
KEN,2016,BM.GSR.TOTL.CD,17284287805.2278
KEN,2015,BM.GSR.TOTL.CD,18562090900.9648
KEN,2014,BM.GSR.TOTL.CD,21643304572.6042
KEN,2013,BM.GSR.TOTL.CD,19229671269.5395
KEN,2012,BM.GSR.TOTL.CD,18577716413.5687
KEN,2011,BM.GSR.TOTL.CD,16732206696.1527
KEN,2010,BM.GSR.TOTL.CD,13823186436.2864
KEN,2009,BM.GSR.TOTL.CD,11514005693.5258
KEN,2008,BM.GSR.TOTL.CD,12780611240.378
KEN,2007,BM.GSR.TOTL.CD,10363847714.2041
KEN,2006,BM.GSR.TOTL.CD,8340533502.15737
KEN,2005,BM.GSR.TOTL.CD,6920519264.88687
KEN,2004,BM.GSR.TOTL.CD,5461336762.76387
KEN,2003,BM.GSR.TOTL.CD,4407401991.56413
KEN,2002,BM.GSR.TOTL.CD,4045871362.73667
KEN,2001,BM.GSR.TOTL.CD,4216166910.09868
KEN,2000,BM.GSR.TOTL.CD,3940728235.80521
KEN,1999,BM.GSR.TOTL.CD,8580583623.03485
KEN,1998,BM.GSR.TOTL.CD,8662274730.93609
KEN,1997,BM.GSR.TOTL.CD,7361748205.58013
KEN,1996,BM.GSR.TOTL.CD,5859745448.64559
KEN,1995,BM.GSR.TOTL.CD,6195020991.88721
KEN,1994,BM.GSR.TOTL.CD,5909583320.25372
KEN,1993,BM.GSR.TOTL.CD,5175520814.29606
KEN,1992,BM.GSR.TOTL.CD,2531999317.12717
KEN,1991,BM.GSR.TOTL.CD,2764707307.97008
KEN,1990,BM.GSR.TOTL.CD,3128201174.49737
KEN,1989,BM.GSR.TOTL.CD,2896657992.72166
KEN,1988,BM.GSR.TOTL.CD,2697680184.36815
KEN,1987,BM.GSR.TOTL.CD,2447234519.0447
KEN,1986,BM.GSR.TOTL.CD,2147575175.06541
KEN,1985,BM.GSR.TOTL.CD,1911135408.62468
KEN,1984,BM.GSR.TOTL.CD,1966022322.32115
KEN,1983,BM.GSR.TOTL.CD,1752617720.84431
KEN,1982,BM.GSR.TOTL.CD,2067508520.50328
